ID,Passenger_ID,Route ID,Class
1,1095,1608,Economy
2,566,1049,First
3,1675,144,Economy
4,1249,315,Economy
5,342,1500,Economy
6,65,764,Economy
7,1579,430,Economy
8,368,1478,Economy
9,899,1229,Economy
10,1461,1763,Economy
11,633,1273,Economy
12,390,1030,Economy
13,1265,816,Economy
14,466,1614,Economy
15,784,68,Economy
16,198,685,Economy
17,1997,134,Economy
18,458,1037,Economy
19,863,644,Economy
20,1260,70,Economy
21,1228,1348,Economy
22,746,1209,Economy
23,1646,529,Economy
24,713,959,Business
25,1643,484,Economy
26,714,1868,Economy
27,770,108,Economy
28,1147,517,First
29,871,1114,Economy
30,474,591,Economy
31,1743,1816,Economy
32,891,178,Economy
33,1521,801,Economy
34,829,707,Economy
35,1980,1913,Economy
36,847,1242,Economy
37,1902,1412,Economy
38,118,212,First
39,395,1589,Business
40,696,1220,Economy
41,1912,885,Economy
42,262,1615,First
43,543,1967,Economy
44,83,209,Economy
45,810,1237,Economy
46,448,1167,First
47,1330,1220,Business
48,818,357,Economy
49,963,1292,Economy
50,262,247,Economy
51,485,1867,Economy
52,1695,1341,Economy
53,717,1750,Economy
54,284,1756,Economy
55,1805,895,Economy
56,124,1481,Economy
57,375,811,Economy
58,982,16,Economy
59,1109,315,Economy
60,1067,1839,Economy
61,1249,705,Business
62,1314,1052,Economy
63,603,518,Economy
64,1130,1180,Economy
65,1393,971,Economy
66,1914,882,Economy
67,721,481,Business
68,1284,1225,Economy
69,981,360,Economy
70,578,770,Economy
71,1702,1434,Business
72,582,1462,Economy
73,567,1113,Business
74,806,1223,Economy
75,1279,66,Economy
76,869,1424,Economy
77,1405,1993,Economy
78,1041,804,Economy
79,148,1438,Economy
80,1955,1223,Economy
81,1498,1965,Economy
82,1570,131,Business
83,1120,1885,Economy
84,1669,962,Economy
85,1739,1180,Economy
86,596,789,Economy
87,648,1625,Economy
88,854,1998,Business
89,106,1389,Economy
90,625,373,Economy
91,74,1480,Economy
92,1967,1600,Economy
93,1649,784,Economy
94,882,448,Economy
95,91,52,Economy
96,1641,995,Economy
97,1162,1838,Economy
98,120,1218,First
99,143,762,Economy
100,649,1509,Economy
101,1452,1480,Economy
102,1994,578,Economy
103,568,1955,Economy
104,1190,959,Business
105,700,316,Business
106,247,1071,Economy
107,1630,1853,Economy
108,691,1540,Economy
109,283,984,Economy
110,1648,818,Economy
111,175,346,Economy
112,526,398,Economy
113,1610,1465,Economy
114,1028,1875,Economy
115,589,1026,Economy
116,1867,1903,Economy
117,387,1437,Economy
118,542,1475,Economy
119,677,1054,Economy
120,1660,1768,Economy
121,1231,817,Economy
122,872,1247,Economy
123,1168,1448,Economy
124,881,1080,Business
125,355,357,Economy
126,678,1056,Economy
127,1805,924,Economy
128,109,269,Economy
129,1750,1767,Economy
130,1961,454,First
131,328,1711,Economy
132,790,486,Economy
133,1928,490,Economy
134,1211,1386,Economy
135,1206,1492,Economy
136,1796,956,Business
137,1762,564,Economy
138,675,666,Economy
139,1068,963,Economy
140,1126,322,Business
141,297,711,Economy
142,215,1398,Economy
143,1586,1932,Economy
144,136,1002,Economy
145,1367,432,Economy
146,1814,1933,Economy
147,294,1256,Economy
148,930,618,Economy
149,1573,1192,Economy
150,1255,1991,Business
151,1594,1658,Economy
152,1760,1308,Economy
153,1450,757,Economy
154,877,384,Economy
155,383,1783,First
156,130,175,Economy
157,968,1906,Economy
158,912,990,Economy
159,225,1511,Economy
160,376,1653,Economy
161,1645,1239,Economy
162,285,799,Business
163,874,901,Economy
164,511,11,Economy
165,768,1322,Economy
166,956,359,Economy
167,1686,624,First
168,1872,946,Economy
169,1565,1574,Economy
170,954,83,Economy
171,293,693,Economy
172,589,666,Economy
173,1634,1703,Economy
174,352,956,Economy
175,590,1059,Economy
176,11,1401,Economy
177,1584,1312,Economy
178,1516,742,Economy
