ID,Departure Airport ID,Arrival Airport ID,Airline ID,Aircraft ID,Delayed
1,264,1106,889,110,0
2,2561,6343,858,144,1
3,7946,2903,872,187,0
4,6233,8410,296,215,0
5,1795,3737,562,88,0
6,9793,1869,980,218,0
7,2130,76,231,207,0
8,2211,4374,574,49,1
9,218,2704,902,79,1
10,589,12987,518,107,1
11,4230,8630,653,210,0
12,1028,9532,715,78,0
13,3550,6352,784,103,1
14,2177,7333,1035,208,0
15,8152,3169,704,168,1
16,1589,6454,857,129,1
17,6373,8630,185,233,0
18,13546,3648,347,89,0
19,8918,1498,415,95,1
20,3214,11924,259,146,1
21,10544,2964,863,218,1
22,49,3071,328,146,0
23,2701,1084,954,44,1
24,6018,163,93,172,1
25,14086,8709,11,143,0
26,11989,1094,313,162,0
27,1749,3620,555,56,0
28,11815,3070,853,87,1
29,5932,8121,869,54,1
30,5538,269,731,157,1
31,411,3298,233,95,1
32,9237,134,501,233,1
33,7766,6434,1049,18,0
34,1823,10545,1139,209,0
35,13369,7161,1178,185,0
36,6790,8601,762,90,0
37,3600,6372,388,207,0
38,6769,8321,523,69,1
39,2528,1651,809,90,0
40,2533,1827,148,82,1
41,6165,5474,690,61,1
42,5533,276,201,187,1
43,9864,1766,1161,187,0
44,656,7630,1203,177,0
45,496,6756,617,181,0
46,971,11545,35,76,0
47,8617,13416,331,143,1
48,11899,1858,835,87,0
49,7111,2223,912,44,0
50,3233,7836,322,19,0
51,5560,11827,685,152,1
52,8634,13315,869,208,0
53,2227,13430,1067,199,0
54,692,6294,715,227,0
55,697,897,28,84,0
56,5922,3804,572,42,1
57,12950,6148,1065,179,0
58,2720,3331,163,107,0
59,7266,1782,126,61,1
60,7136,4278,836,227,1
61,4278,8114,1183,137,0
62,3854,6922,895,40,1
63,476,8671,561,2,1
64,824,2428,847,14,0
65,3344,6034,888,75,0
66,3234,6165,539,97,1
67,6943,1723,283,137,0
68,5516,65,60,138,1
69,6894,5404,947,103,0
70,1004,2205,206,242,1
71,11049,8054,1245,211,0
72,2553,4120,703,189,0
73,2570,5697,595,31,1
74,6356,1197,686,6,1
75,3456,3854,861,148,0
76,2733,1020,643,157,0
77,8090,9853,867,62,0
78,9310,2589,467,159,0
79,7331,3679,583,185,0
80,5897,6730,658,188,0
81,6962,12055,663,30,0
82,7649,11840,533,217,0
83,5848,3433,516,150,0
84,7115,11983,647,210,1
85,10057,1092,635,206,0
86,2584,6401,1188,186,0
87,1062,7188,781,69,0
88,7928,2192,265,198,1
89,6898,7420,932,81,0
90,3363,2234,1186,234,0
91,1565,9146,1220,71,0
92,4050,4089,14,169,1
93,3053,7821,500,140,1
94,579,7452,281,102,0
95,7437,3706,626,79,0
96,7464,6342,802,143,0
97,8889,10943,1183,128,0
98,595,6396,573,32,0
99,13438,962,588,8,0
100,8143,6519,49,108,1
101,916,4061,453,151,0
102,13712,1319,1237,237,0
103,2448,6282,547,191,0
104,3023,625,16,49,1
105,1912,6310,467,239,0
106,194,2817,119,10,0
107,1382,2387,1168,216,0
108,13374,1671,765,238,0
109,82,11959,708,106,0
110,1263,1899,589,25,0
111,5620,1031,1101,103,0
112,2597,2677,141,215,0
113,3554,6398,114,144,0
114,2679,4349,296,55,0
115,2903,4073,823,108,0
116,11766,2304,1111,96,0
117,5526,1428,152,122,0
118,3237,7052,839,32,0
119,7671,6841,696,75,1
120,7822,3769,747,160,0
121,1973,5770,960,140,1
122,5450,6029,726,79,0
123,1524,1839,980,111,0
124,146,13341,248,148,0
125,2699,6996,970,51,0
126,4353,13773,402,128,0
127,3896,1726,746,148,0
128,6182,5921,555,136,1
129,6393,194,589,147,1
130,9799,6086,697,78,0
131,6267,2737,286,106,1
132,704,6061,557,36,0
133,2410,2696,531,3,0
134,7929,5768,430,146,0
135,351,359,626,187,1
136,3968,12059,585,236,1
137,6873,2593,305,115,0
138,4360,5986,744,221,0
139,7018,3938,424,116,0
140,10545,521,1244,204,0
141,11270,8890,1013,180,0
142,3198,7217,283,35,0
143,3623,7776,160,58,1
144,11957,5410,652,229,1
145,3135,1301,819,73,0
146,7704,11817,696,25,0
147,372,13249,1060,162,0
148,6242,3947,1166,110,1
149,1470,11861,887,172,0
150,8526,6759,897,103,0
151,11987,12015,659,206,1
152,1493,11204,1130,150,1
153,1458,2832,592,197,0
154,8363,4191,759,225,1
155,782,3669,16,184,1
156,2807,3928,810,66,1
157,9770,9088,668,161,1
158,58,2570,728,104,0
159,279,11794,378,104,1
160,40,579,172,26,1
161,2493,9392,640,171,0
162,2792,505,344,124,0
163,5618,8090,23,13,0
164,12941,12041,1076,205,1
165,3931,233,580,74,1
166,2607,8949,870,14,1
167,7503,80,195,108,0
168,7277,1599,535,169,1
169,2174,11,983,60,1
170,5853,728,869,219,0
171,1833,11813,1025,157,1
172,2497,3923,1230,211,0
173,6081,4239,1239,126,1
174,3653,2733,969,132,0
175,7584,584,281,119,1
176,8156,299,250,17,1
177,1395,8476,1100,76,1
178,6086,8834,505,150,0
179,683,6249,205,76,1
180,1014,3684,1103,225,1
181,8347,5770,370,112,0
182,10160,12045,1203,137,0
183,1924,1112,1103,129,1
184,1901,4038,1044,134,0
185,190,7984,152,143,0
186,972,13424,488,200,1
187,11389,11944,74,42,0
188,5693,969,743,105,0
189,6006,3383,804,70,1
190,6335,5587,1175,211,1
191,6089,1785,722,42,0
192,12619,1443,1017,138,0
193,10745,11479,83,28,0
194,3818,12005,1211,157,0
195,3408,6762,930,228,1
196,6956,2682,784,141,0
197,4193,3410,1082,158,1
198,212,1909,1113,242,1
199,2302,6928,829,222,0
200,12445,1130,777,130,0
201,12096,11981,522,92,0
202,12133,2108,314,82,0
203,2553,7122,921,76,1
204,5562,3651,33,8,1
205,851,3173,1061,119,0
206,968,13630,1104,36,0
207,8308,3993,1178,123,0
208,3932,362,123,213,1
209,3989,6725,964,127,0
210,12979,7570,472,203,1
211,13112,1029,813,19,1
212,1791,7768,486,5,0
213,5737,12172,998,98,0
214,7107,14102,1001,43,1
215,7121,7649,185,14,0
216,43,108,436,231,0
217,8777,1961,713,173,0
218,6295,6409,751,155,1
219,9847,2189,1151,171,0
220,1022,2533,218,218,0
221,3547,2243,175,197,0
222,2703,2740,101,195,0
223,7777,6019,492,197,1
224,346,5839,988,242,1
225,4072,8379,201,142,1
226,4377,13489,760,171,1
227,6164,8624,105,2,0
228,6256,791,206,218,0
229,5856,11788,306,245,0
230,2249,900,329,111,0
231,5442,8477,436,49,1
232,6212,5747,13,31,0
233,2989,3487,981,34,1
234,308,7313,852,156,1
235,11843,7178,1211,159,1
236,6411,9229,124,176,0
237,3715,3406,941,230,0
238,6166,281,225,124,0
239,3130,3753,123,12,0
240,7792,940,452,108,0
241,3493,6482,257,13,0
242,7630,7278,732,208,0
243,5536,13209,727,11,0
244,10166,1424,472,59,0
245,3906,5859,621,140,0
246,13635,10151,1199,176,0
247,4250,2464,616,237,0
248,135,4033,762,211,0
249,7731,895,383,155,0
250,736,9164,27,182,1
251,1889,8242,968,43,0
252,402,3779,988,231,1
253,4341,6306,1118,111,1
254,9808,2429,1254,180,0
255,1956,1350,12,12,0
256,9126,6091,1241,36,0
257,517,2894,406,158,0
258,2542,3332,615,4,0
259,6027,2233,861,37,0
260,1576,1664,1144,116,0
261,4040,1255,82,103,1
262,9415,13368,1057,94,1
263,2691,3528,257,210,0
264,11812,6330,724,34,0
265,7490,5961,765,229,0
266,3475,1592,599,90,0
267,933,4330,2,197,1
268,4066,3158,602,142,0
269,3183,8961,989,26,1
270,6114,1566,1027,161,1
271,9790,2813,1194,219,0
272,6306,1063,724,135,0
273,2929,6762,486,137,1
274,5652,8182,468,116,1
275,1388,2712,487,226,0
276,4112,11140,1219,214,0
277,5800,5578,1050,22,0
278,10792,3234,1100,36,0
279,7828,3264,481,160,1
280,13069,4363,539,133,0
281,11988,2272,585,210,1
282,6996,9008,874,153,1
283,3641,3931,744,109,0
284,5739,4328,1109,169,0
285,8265,5528,379,89,0
286,4102,3325,167,134,0
287,11762,3852,147,49,0
288,3646,13381,204,111,1
289,12058,1790,1207,40,1
290,679,10752,329,63,1
291,253,7277,365,21,0
292,13540,6389,263,79,1
293,21,1513,827,132,0
294,605,3523,699,39,0
295,875,195,196,98,0
296,13401,1958,1177,114,1
297,3514,9889,1133,188,0
298,6420,186,401,35,0
299,8410,2792,928,106,0
300,13687,3025,451,162,1
301,1093,11804,320,206,0
302,1541,3275,90,108,1
303,4096,4026,480,213,1
304,7341,6922,197,104,1
305,1843,6276,824,54,0
306,511,8156,1029,54,1
307,8397,1328,765,134,0
308,3724,2522,851,169,0
309,3673,7126,331,74,1
310,9826,8555,801,159,1
311,6047,11945,607,66,1
312,1818,2206,422,107,0
313,1689,3347,83,81,1
314,872,3161,55,89,0
315,1177,6433,146,175,0
316,353,13427,49,235,0
317,8501,876,424,239,0
318,8300,3331,420,148,1
319,8365,1628,181,226,0
320,3245,7423,224,216,0
321,2345,6147,273,111,1
322,10145,1627,529,5,0
323,5654,11735,230,205,0
324,7650,6974,798,185,0
325,414,11499,66,85,0
326,9782,778,872,56,1
327,867,1554,470,162,0
328,8237,8147,769,38,0
329,3772,1828,1115,86,1
330,2492,7488,938,201,0
331,11929,9788,782,33,0
332,7826,580,910,185,1
333,5853,880,884,93,1
334,9372,9095,1004,59,0
335,1442,12104,1173,216,0
336,34,5497,12,230,0
337,6735,2878,416,80,0
338,13643,2276,1083,73,0
339,11076,2752,812,243,1
340,813,3956,694,73,0
341,5607,1315,1172,173,1
342,2260,880,775,207,1
343,3196,1274,277,112,0
344,3164,7674,524,7,0
345,2931,8220,355,120,1
346,3748,3381,1226,200,0
347,1759,5909,498,25,0
348,3993,5513,702,110,0
349,1805,1444,687,63,0
350,6073,938,1093,148,0
351,794,13726,19,75,1
352,5912,6735,844,201,0
353,2021,3469,22,203,1
354,1403,8775,1209,59,1
355,1469,1973,535,99,0
356,2072,11880,646,49,1
